,Lambda,Overall,Asian,Black,Hisp,Other,White,Male,Female
49,0.49000000000000005,75.102,64.87,51.757999999999996,57.214,68.158,78.326,75.46,74.64200000000001
50,0.5,75.124,64.87,51.843999999999994,57.214,68.158,78.34799999999998,75.478,74.674
51,0.51,75.184,64.87,51.928,57.324,68.158,78.404,75.53,74.74199999999999
52,0.52,75.226,64.982,51.928,57.324,68.158,78.45,75.564,74.798
53,0.53,75.244,64.982,51.928,57.43399999999999,68.158,78.46799999999999,75.582,74.822
54,0.54,75.28,65.11,51.928,57.43399999999999,68.422,78.498,75.61599999999999,74.856
55,0.55,75.33200000000001,65.23800000000001,51.928,57.54,68.422,78.552,75.684,74.888
56,0.56,75.378,65.35999999999999,51.928,57.648,68.422,78.59200000000001,75.72,74.942
57,0.57,75.412,65.35999999999999,51.928,57.648,68.422,78.634,75.764,74.966
58,0.58,75.454,65.35999999999999,52.013999999999996,57.648,68.422,78.68,75.8,75.02000000000001
59,0.59,75.478,65.35999999999999,52.013999999999996,57.648,68.682,78.70400000000001,75.826,75.042
60,0.6,75.526,65.35999999999999,52.013999999999996,57.648,68.682,78.762,75.868,75.1
61,0.61,75.56400000000001,65.66400000000002,52.013999999999996,57.748000000000005,68.682,78.784,75.91,75.12
62,0.62,75.58800000000001,65.898,52.013999999999996,57.748000000000005,68.682,78.80199999999999,75.93599999999999,75.144
63,0.63,75.636,65.898,52.013999999999996,57.854,68.682,78.854,76.024,75.144
64,0.64,75.664,65.898,52.013999999999996,57.854,68.682,78.89,76.06,75.168
65,0.65,75.688,65.898,51.931999999999995,57.854,68.682,78.92200000000001,76.068,75.21000000000001
66,0.66,75.75000000000001,66.02000000000001,51.931999999999995,57.96,68.952,78.97399999999999,76.12800000000001,75.26599999999999
67,0.67,75.766,66.02000000000001,51.931999999999995,57.96,68.952,78.99199999999999,76.15599999999999,75.26599999999999
68,0.68,75.78599999999999,66.01599999999999,51.931999999999995,57.96,69.214,79.01,76.182,75.27799999999999
69,0.69,75.79400000000001,66.01599999999999,51.931999999999995,57.96,69.214,79.02199999999999,76.19000000000001,75.288
70,0.7,75.83200000000001,66.12800000000001,52.092,58.07000000000001,69.214,79.046,76.248,75.298
71,0.71,75.886,66.12800000000001,52.174,58.284000000000006,69.214,79.09400000000001,76.32,75.33200000000001
72,0.72,75.904,66.25,52.174,58.284000000000006,69.214,79.112,76.33599999999998,75.35600000000001
73,0.73,75.92,66.138,52.174,58.396,69.214,79.128,76.364,75.352
74,0.74,75.936,66.138,52.088,58.396,69.488,79.146,76.364,75.388
75,0.75,75.968,66.138,52.088,58.396,69.488,79.186,76.398,75.41999999999999
76,0.76,75.99,66.138,52.262,58.396,69.488,79.19800000000001,76.434,75.42
77,0.77,76.006,66.138,52.262,58.396,69.488,79.22200000000001,76.44200000000001,75.45599999999999
78,0.78,76.03200000000001,66.25,52.262,58.396,69.488,79.24600000000001,76.478,75.466
79,0.79,76.05,66.622,52.262,58.396,69.488,79.25200000000001,76.50199999999998,75.476
80,0.8,76.054,66.622,52.348,58.504000000000005,69.22800000000001,79.25,76.51,75.476
81,0.8100000000000002,76.076,66.622,52.348,58.61,69.22800000000001,79.268,76.54400000000001,75.476
82,0.82,76.104,66.622,52.510000000000005,58.61,69.492,79.28599999999999,76.582,75.5
83,0.8299999999999998,76.12,66.622,52.510000000000005,58.61,69.492,79.30199999999999,76.58,75.53200000000001
84,0.8400000000000001,76.124,66.622,52.510000000000005,58.71600000000001,69.492,79.30199999999999,76.59,75.53200000000001
85,0.85,76.12,66.622,52.510000000000005,58.81600000000001,69.492,79.28999999999999,76.572,75.54400000000001
86,0.86,76.14200000000001,66.622,52.510000000000005,58.81600000000001,69.492,79.314,76.608,75.54400000000001
87,0.8699999999999999,76.15599999999999,66.622,52.59400000000001,58.81600000000001,69.752,79.32000000000001,76.63199999999999,75.54400000000001
88,0.8800000000000001,76.16,66.622,52.59400000000001,58.81600000000001,69.752,79.326,76.634,75.55600000000001
89,0.89,76.174,66.622,52.674,58.81600000000001,69.752,79.338,76.662,75.55600000000001
90,0.9,76.19800000000001,66.744,52.674,58.81600000000001,69.752,79.35999999999999,76.696,75.568
91,0.9099999999999999,76.218,66.744,52.674,58.81600000000001,69.752,79.38399999999999,76.70200000000001,75.602
92,0.9200000000000002,76.248,66.63199999999999,52.674,58.926,69.752,79.42,76.72,75.646
93,0.93,76.252,66.50399999999999,52.674,59.04,69.752,79.42600000000002,76.718,75.65799999999999
94,0.9399999999999998,76.266,66.50399999999999,52.674,59.146,69.752,79.438,76.736,75.67
95,0.95,76.266,66.382,52.674,59.146,69.752,79.444,76.736,75.67
96,0.96,76.28799999999998,66.382,52.674,59.254,69.752,79.46199999999999,76.772,75.668
97,0.97,76.326,66.382,52.848,59.464,69.752,79.48400000000001,76.826,75.69000000000001
98,0.9800000000000001,76.34400000000001,66.616,52.936,59.464,69.752,79.488,76.84200000000001,75.71200000000002
99,0.99,76.37,66.616,53.022000000000006,59.574,69.752,79.506,76.85799999999999,75.74600000000001
100,1.0,76.38000000000001,66.50399999999999,53.102,59.686,70.014,79.506,76.876,75.74600000000001
