,Lambda,Overall,Asian,Black,Hisp,Other,White,Male,Female
23,0.23000000000000004,89.406,82.61999999999999,67.172,77.112,83.416,92.074,90.192,88.386
24,0.24,89.44,82.61999999999999,67.652,77.106,83.416,92.08,90.23599999999999,88.408
25,0.25,89.402,82.49199999999999,67.316,77.326,83.416,92.04999999999998,90.26400000000001,88.288
26,0.26,89.456,82.61999999999999,67.55,77.198,83.416,92.098,90.33200000000001,88.31999999999998
27,0.27,89.41999999999999,82.61999999999999,67.146,76.97,83.416,92.098,90.28,88.30799999999999
28,0.28,89.44399999999999,82.61999999999999,67.73,76.97,83.416,92.08599999999998,90.324,88.30799999999999
29,0.29,89.426,82.46799999999999,67.39,76.97,83.416,92.09400000000001,90.332,88.25399999999999
30,0.3,89.456,82.46799999999999,68.138,76.86999999999999,83.14399999999999,92.08800000000001,90.342,88.30799999999999
31,0.31,89.50800000000001,82.61999999999999,68.14200000000001,77.202,83.416,92.12200000000001,90.37599999999999,88.388
32,0.32,89.52199999999999,82.61999999999999,68.144,77.422,83.69,92.12,90.366,88.43199999999999
33,0.33,89.506,82.49199999999999,67.966,77.22200000000001,83.69,92.126,90.348,88.41
34,0.34,89.53,82.48,67.558,77.63199999999999,84.214,92.14999999999999,90.434,88.354
35,0.35,89.50399999999999,82.49199999999999,67.828,77.532,83.68199999999999,92.12199999999999,90.382,88.366
36,0.36,89.48400000000001,82.60600000000001,67.658,77.55199999999999,83.954,92.096,90.35799999999999,88.356
37,0.37,89.47999999999999,82.454,67.73,77.55199999999999,83.40799999999999,92.104,90.368,88.332
38,0.38,89.514,82.454,68.24199999999999,77.426,83.398,92.11399999999999,90.426,88.332
39,0.39,89.518,82.60600000000001,67.824,77.53600000000002,83.672,92.132,90.426,88.34599999999999
40,0.4,89.52600000000001,82.60600000000001,67.982,77.426,84.202,92.12,90.40200000000002,88.388
41,0.41,89.47999999999999,82.48,67.554,77.326,83.942,92.11399999999999,90.356,88.342
42,0.42000000000000004,89.534,82.48,68.33000000000001,77.34,83.942,92.126,90.39200000000001,88.422
43,0.43,89.542,82.48,68.33000000000001,77.44000000000001,83.942,92.132,90.418,88.41199999999999
44,0.44000000000000006,89.52000000000001,82.49199999999999,68.326,77.33,83.942,92.108,90.428,88.344
45,0.45,89.524,82.60600000000001,68.244,77.554,83.942,92.104,90.41000000000001,88.37800000000001
46,0.4600000000000001,89.532,82.454,68.326,77.336,83.942,92.12800000000001,90.42,88.39000000000001
47,0.4699999999999999,89.518,82.49199999999999,68.238,77.444,83.942,92.10999999999999,90.43599999999999,88.334
48,0.48,89.524,82.34,68.15,77.536,83.942,92.11999999999999,90.418,88.364
49,0.49000000000000005,89.56800000000001,82.704,68.172,77.446,85.036,92.14000000000001,90.418,88.46799999999999
50,0.5,89.572,82.676,68.366,77.876,84.24,92.128,90.418,88.47999999999999
51,0.51,89.652,82.554,69.102,77.984,84.22999999999999,92.16799999999999,90.444,88.62599999999999
52,0.52,89.622,82.55199999999999,68.94,77.554,84.756,92.15599999999999,90.44399999999999,88.55799999999999
53,0.53,89.598,82.55199999999999,68.946,77.66600000000001,84.756,92.122,90.42,88.536
54,0.54,89.636,82.804,68.956,77.764,84.768,92.15,90.44200000000001,88.58800000000001
55,0.55,89.61600000000001,82.676,68.86600000000001,77.654,85.026,92.138,90.426,88.57
56,0.56,89.62,82.804,68.626,77.862,84.764,92.152,90.444,88.558
57,0.57,89.602,82.55999999999999,68.448,77.97200000000001,85.54599999999999,92.12800000000001,90.41799999999999,88.54400000000001
58,0.58,89.61000000000001,82.71199999999999,68.378,78.084,85.54599999999999,92.13400000000001,90.42800000000001,88.55600000000001
59,0.59,89.58200000000002,83.084,68.374,77.33800000000001,84.74600000000001,92.13999999999999,90.418,88.498
60,0.6,89.578,83.084,68.544,77.11,84.74600000000001,92.134,90.462,88.43199999999999
61,0.61,89.59200000000001,82.83399999999999,68.708,77.23400000000001,85.286,92.134,90.478,88.44399999999999
62,0.62,89.616,82.95599999999999,68.872,77.58200000000001,84.756,92.14,90.494,88.47999999999999
63,0.63,89.66,83.078,69.026,77.88600000000001,85.01599999999999,92.15200000000002,90.532,88.534
64,0.64,89.664,83.078,69.206,77.796,84.75399999999999,92.15799999999999,90.50399999999999,88.58200000000001
65,0.65,89.678,82.828,69.11,77.882,84.75399999999999,92.188,90.54,88.568
66,0.66,89.686,82.95599999999999,69.046,77.792,84.47999999999999,92.204,90.55,88.57000000000001
67,0.67,89.65200000000002,82.85799999999999,68.304,78.204,84.75399999999999,92.192,90.52799999999999,88.51400000000001
68,0.68,89.718,83.102,68.97800000000001,78.428,84.75399999999999,92.20400000000001,90.58,88.60599999999998
69,0.69,89.662,82.958,68.788,77.78999999999999,84.75399999999999,92.18599999999999,90.45,88.64
70,0.7,89.69,82.7,69.232,77.99600000000001,85.01599999999999,92.18599999999999,90.506,88.64000000000001
71,0.71,89.65,82.708,68.908,77.89200000000001,85.006,92.16799999999999,90.424,88.652
72,0.72,89.656,82.69800000000001,68.994,77.89200000000001,84.74600000000001,92.174,90.426,88.662
73,0.73,89.65599999999999,82.94,68.736,77.89200000000001,85.006,92.17399999999999,90.47,88.606
74,0.74,89.656,83.062,68.652,78.112,85.006,92.162,90.454,88.62599999999999
75,0.75,89.622,82.7,68.494,78.196,84.732,92.15,90.418,88.596
76,0.76,89.63400000000001,82.7,68.736,77.89,84.2,92.174,90.418,88.61800000000001
77,0.77,89.63400000000001,82.578,68.73400000000001,77.976,84.2,92.18,90.44199999999998,88.59400000000002
78,0.78,89.652,82.578,68.74,78.096,84.2,92.19199999999998,90.426,88.65200000000002
79,0.79,89.648,82.7,68.574,78.086,84.72999999999999,92.17999999999999,90.436,88.62800000000001
80,0.8,89.632,82.7,68.75,78.086,84.21,92.162,90.436,88.596
81,0.8100000000000002,89.656,82.822,68.982,78.086,84.2,92.16799999999999,90.452,88.628
82,0.82,89.636,82.828,68.736,77.966,84.2,92.168,90.44200000000001,88.59
83,0.8299999999999998,89.63600000000001,82.578,68.28400000000002,78.2,84.474,92.192,90.452,88.58200000000001
84,0.8400000000000001,89.61200000000001,82.578,68.042,78.166,84.214,92.186,90.41999999999999,88.57
85,0.85,89.606,82.578,67.94800000000001,78.166,84.214,92.186,90.40199999999999,88.58
86,0.86,89.598,82.578,68.126,77.95,83.94,92.18,90.39399999999999,88.57
87,0.8699999999999999,89.588,82.578,67.96600000000001,78.05600000000001,84.214,92.16799999999999,90.37800000000001,88.57
88,0.8800000000000001,89.618,82.578,67.898,78.08000000000001,84.214,92.21000000000001,90.41799999999999,88.58000000000001
89,0.89,89.54799999999999,82.578,67.712,77.77,84.22,92.15599999999999,90.41,88.438
90,0.9,89.54799999999999,82.578,67.624,77.77,84.22,92.162,90.42,88.426
91,0.9099999999999999,89.542,82.578,67.702,77.77,84.22,92.15,90.4,88.438
92,0.9200000000000002,89.554,82.578,67.894,77.65599999999999,84.22,92.156,90.374,88.492
93,0.93,89.56999999999998,82.578,67.458,77.982,84.74600000000001,92.174,90.394,88.50200000000001
94,0.9399999999999998,89.558,82.578,67.792,77.66,84.22,92.16800000000002,90.366,88.516
95,0.95,89.564,82.578,67.796,77.876,84.48400000000001,92.15600000000002,90.374,88.516
96,0.96,89.53999999999999,82.578,67.72200000000001,77.76599999999999,84.48400000000001,92.138,90.34,88.504
97,0.97,89.52799999999999,82.578,67.63999999999999,77.76599999999999,84.48400000000001,92.132,90.32,88.504
98,0.9800000000000001,89.538,82.578,67.71199999999999,77.76599999999999,84.48400000000001,92.138,90.348,88.49000000000001
99,0.99,89.538,82.578,67.71199999999999,77.76599999999999,84.48400000000001,92.138,90.348,88.49000000000001
100,1.0,89.61,82.828,68.21000000000001,78.3,84.74,92.138,90.4,88.58200000000002
