,Lambda,Age,Family_Income_Quantile_2,Family_Income_Quantile_3,Family_Income_Quantile_4,Family_Income_Quantile_5,Fulltime,LSAT,Schl_Ranking_Mean
0,0.0,-0.17888886190572897,-0.013970997369262605,-0.06576324341462517,-0.0950360795707065,0.019629302009532872,0.11639160717699362,0.6036679142307817,1.1830574127970235
1,0.01,-0.1785082797464294,-0.013160703710595259,-0.06285202709443952,-0.09088981812688815,0.022612023866900123,0.11644238638787367,0.6083944465380298,1.188686432419003
2,0.02,-0.17814237951190615,-0.012369079642787729,-0.05998842187026432,-0.08681274161518518,0.025551192674439428,0.11649436369416573,0.6130520799354475,1.1942745990911816
3,0.03,-0.1777911307551613,-0.011548608239083952,-0.05711902532431545,-0.08274355725815437,0.028487824986366022,0.11655919796450342,0.6176379724936393,1.1998209363007617
4,0.04,-0.17745915606886964,-0.010793877424494386,-0.054382137857702594,-0.0788352792477757,0.03132727196788813,0.11662333486511492,0.6221571391515907,1.2053195702078348
5,0.05,-0.17714182535155634,-0.010027246527226056,-0.05165400527639598,-0.0749532209028652,0.03414919593832614,0.11669628969058947,0.6265960073429825,1.2107690889045504
6,0.06,-0.17683766681429647,-0.009217257144264066,-0.048880378807263085,-0.07104360804175194,0.036983443037838494,0.11677337903935556,0.6309600637336695,1.2161696175650525
7,0.07,-0.17655792745855786,-0.00851726430226012,-0.04631375909325898,-0.0673778580701982,0.03967559645581164,0.11685039091601408,0.635256842323473,1.2215161694644183
8,0.08,-0.17628527923019033,-0.007787250604456221,-0.04372803784839379,-0.06370061502630235,0.042368979122866385,0.11693899561170587,0.6394591893751942,1.2268106251023156
9,0.09,-0.1760330041389009,-0.0070651651102892595,-0.0411876891364623,-0.06009827763914818,0.04501689059023482,0.11702893224287307,0.6435885641349808,1.2320439293703835
10,0.1,-0.1757992070716971,-0.006375468402501018,-0.03873103148490249,-0.05660642583314063,0.04759866669083098,0.11712607204129726,0.6476359846370341,1.23722224866864
11,0.11000000000000001,-0.17557535446344738,-0.005644251662994864,-0.03623865093793739,-0.053095403227232295,0.050185437649280615,0.11722926127471296,0.6515963405692935,1.2423354466583916
12,0.12,-0.17537084276878243,-0.0049495254493331165,-0.033844012487995304,-0.04970912140225166,0.05269646146252509,0.11733840586724327,0.6554711606322969,1.247385322565603
13,0.13,-0.17518247955455762,-0.004271544912682905,-0.03149639286100875,-0.04639500599406697,0.05515952484912627,0.11744833637191401,0.6592608682516814,1.2523705675114825
14,0.14,-0.17501045926571557,-0.0036020730245485523,-0.029201412487994488,-0.0431594074786961,0.05757400313653475,0.11756569511628485,0.6629626324558185,1.2572883926552147
