,Lambda,Overall,Asian,Black,Hisp,Other,White,Male,Female
54,0.54,68.184,52.70399999999999,14.925999999999998,36.498000000000005,49.716,74.74199999999999,69.16600000000001,66.914
55,0.55,68.24000000000001,52.83,14.925999999999998,36.604,49.716,74.79599999999999,69.238,66.948
56,0.56,68.29,52.952,14.925999999999998,36.714,49.716,74.84599999999999,69.288,67.006
57,0.57,68.324,52.952,14.925999999999998,36.714,49.716,74.888,69.33200000000001,67.02799999999999
58,0.58,68.39000000000001,52.952,15.01,36.714,49.716,74.958,69.384,67.10600000000001
59,0.59,68.414,52.952,15.01,36.714,49.976000000000006,74.97999999999999,69.41199999999999,67.12800000000001
60,0.6,68.46200000000002,52.952,15.01,36.714,49.976000000000006,75.036,69.452,67.184
61,0.61,68.49600000000001,53.254,15.01,36.814,49.976000000000006,75.06,69.498,67.20599999999999
62,0.62,68.522,53.48999999999999,15.01,36.814,49.976000000000006,75.078,69.524,67.22999999999999
63,0.63,68.59,53.48999999999999,15.185999999999998,36.92,49.976000000000006,75.144,69.61,67.274
64,0.64,68.61999999999999,53.48999999999999,15.185999999999998,36.92,49.976000000000006,75.178,69.64399999999999,67.298
65,0.65,68.652,53.48999999999999,15.267999999999997,36.92,49.976000000000006,75.214,69.654,67.364
66,0.66,68.712,53.61199999999999,15.267999999999997,37.025999999999996,50.246,75.26599999999999,69.714,67.42
67,0.67,68.73599999999999,53.61199999999999,15.267999999999997,37.025999999999996,50.246,75.294,69.74,67.44
68,0.68,68.756,53.60999999999999,15.267999999999997,37.025999999999996,50.510000000000005,75.30999999999999,69.768,67.452
69,0.69,68.766,53.60999999999999,15.267999999999997,37.025999999999996,50.510000000000005,75.322,69.776,67.464
70,0.7,68.818,53.722,15.428,37.134,50.510000000000005,75.35799999999999,69.836,67.49600000000001
71,0.71,68.87,53.722,15.51,37.348,50.510000000000005,75.40599999999999,69.90800000000002,67.52799999999999
72,0.72,68.88799999999999,53.84400000000001,15.51,37.348,50.510000000000005,75.422,69.926,67.55199999999999
73,0.73,68.922,53.95799999999999,15.51,37.46,50.510000000000005,75.45,69.95,67.598
74,0.74,68.95599999999999,53.95799999999999,15.596,37.46,50.784000000000006,75.48,69.96600000000001,67.65400000000001
75,0.75,69.002,53.95799999999999,15.596,37.46,50.784000000000006,75.53399999999999,70.0,67.71000000000001
76,0.76,69.03,53.95799999999999,15.77,37.46,50.784000000000006,75.55600000000001,70.038,67.732
77,0.77,69.058,53.95799999999999,15.77,37.46,50.784000000000006,75.59200000000001,70.064,67.768
78,0.78,69.09400000000001,54.07000000000001,15.77,37.46,50.784000000000006,75.62800000000001,70.116,67.77799999999999
79,0.79,69.114,54.43999999999998,15.77,37.67999999999999,50.784000000000006,75.622,70.14200000000001,67.78799999999998
80,0.8,69.13,54.43999999999998,15.856,37.788,50.524,75.634,70.166,67.78799999999998
81,0.8100000000000002,69.14000000000001,54.43999999999998,15.856,37.894,50.524,75.64000000000001,70.184,67.78799999999998
82,0.82,69.16799999999999,54.43999999999998,16.016000000000002,37.894,50.786,75.658,70.218,67.81199999999998
83,0.8299999999999998,69.18199999999999,54.43999999999998,16.016000000000002,37.894,50.786,75.674,70.21799999999999,67.844
84,0.8400000000000001,69.19800000000001,54.43999999999998,16.016000000000002,38.0,50.786,75.686,70.244,67.844
85,0.85,69.202,54.43999999999998,16.016000000000002,38.1,50.786,75.686,70.246,67.856
86,0.86,69.22,54.43999999999998,16.016000000000002,38.1,50.786,75.708,70.282,67.856
87,0.8699999999999999,69.23599999999999,54.43999999999998,16.1,38.1,51.04600000000001,75.71200000000002,70.30799999999999,67.856
88,0.8800000000000001,69.25200000000001,54.43999999999998,16.1,38.1,51.04600000000001,75.728,70.32399999999998,67.868
89,0.89,69.256,54.43999999999998,16.18,38.1,51.04600000000001,75.72999999999999,70.33,67.866
90,0.9,69.27799999999999,54.56199999999999,16.18,38.1,51.04600000000001,75.752,70.366,67.878
91,0.9099999999999999,69.298,54.56199999999999,16.18,38.1,51.04600000000001,75.776,70.392,67.88799999999999
92,0.9200000000000002,69.32600000000001,54.45,16.18,38.21,51.04600000000001,75.81199999999998,70.41,67.936
93,0.93,69.334,54.324,16.18,38.324,51.04600000000001,75.818,70.412,67.946
94,0.9399999999999998,69.348,54.324,16.18,38.43,51.04600000000001,75.83000000000001,70.428,67.96000000000001
95,0.95,69.36600000000001,54.446000000000005,16.18,38.43,51.04600000000001,75.84800000000001,70.446,67.982
96,0.96,69.378,54.446000000000005,16.18,38.540000000000006,51.04600000000001,75.854,70.462,67.97999999999999
97,0.97,69.42599999999999,54.446000000000005,16.354,38.748000000000005,51.04600000000001,75.88999999999999,70.514,68.024
98,0.9800000000000001,69.446,54.455999999999996,16.442,38.748000000000005,51.04600000000001,75.90599999999999,70.55000000000001,68.024
99,0.99,69.478,54.455999999999996,16.528,38.86,51.04600000000001,75.93599999999999,70.586,68.05600000000001
100,1.0,69.47999999999999,54.34400000000001,16.608,38.748000000000005,51.31,75.936,70.586,68.058
